"사이트별(1)",2025,2025
"사이트별(1)",중학생,고등학생
"커리어넷·주니어 커리어넷(진로정보망)",78.2,89.7
"고용24((구)워크넷, 취업정보망)",35.8,50.4
"고입정보포털",35.3,-
"하이파이브(특성화고·마이스터고 포털)",26.1,18.1
"어디가(대입정보포털)",21.4,59.6
"프로칼리지(전문대학포털)",17.3,16.6
"꿈길(진로체험망)",22.7,18.5
"YEEP(온라인 창업체험교육 플랫폼)",19.6,16.0
"원격 영상 진로멘토링",19.5,17.5
"크레존(창의인성교육넷)",18.1,14.4
"시도교육청 운영 진로교육 관련 사이트(진로진학지원(정보)센터, 진로교육원, 고교학점제 지원센터 등)",30.6,31.1
"알리미(학교 알리미, 대학 알리미)",78.2,46.6
"함께 학교(학생, 교원, 학부모 디지털 소통 플랫폼)",27.6,22.3
